gamePk,gameDate,home_id,away_id,home_name,away_name,home_score,away_score,home_win,total_runs
822988,2026-05-02T22:10:00Z,139,137,Tampa Bay Rays,San Francisco Giants,5,1,1,6
823067,2026-05-02T23:15:00Z,138,119,St. Louis Cardinals,Los Angeles Dodgers,3,2,1,5
824284,2026-05-02T23:15:00Z,116,140,Detroit Tigers,Texas Rangers,5,1,1,6
824365,2026-05-03T00:10:00Z,115,144,Colorado Rockies,Atlanta Braves,1,9,0,10
823308,2026-05-03T00:40:00Z,135,145,San Diego Padres,Chicago White Sox,0,4,0,4
824042,2026-05-03T01:38:00Z,108,121,Los Angeles Angels,New York Mets,4,3,1,7
823144,2026-05-03T01:40:00Z,136,118,Seattle Mariners,Kansas City Royals,2,3,0,5
823711,2026-05-03T16:45:00Z,142,141,Minnesota Twins,Toronto Blue Jays,4,3,1,7
824769,2026-05-03T17:35:00Z,111,117,Boston Red Sox,Houston Astros,1,3,0,4
823387,2026-05-03T17:35:00Z,134,113,Pittsburgh Pirates,Cincinnati Reds,1,0,1,1
823555,2026-05-03T17:35:00Z,147,110,New York Yankees,Baltimore Orioles,11,3,1,14
822742,2026-05-03T17:35:00Z,120,158,Washington Nationals,Milwaukee Brewers,3,2,1,5
822987,2026-05-03T17:40:00Z,139,137,Tampa Bay Rays,San Francisco Giants,2,1,1,3
823875,2026-05-03T17:40:00Z,146,143,Miami Marlins,Philadelphia Phillies,2,7,0,9
823065,2026-05-03T18:15:00Z,138,119,St. Louis Cardinals,Los Angeles Dodgers,1,4,0,5
824687,2026-05-03T18:20:00Z,112,109,Chicago Cubs,Arizona Diamondbacks,8,4,1,12
824364,2026-05-03T19:10:00Z,115,144,Colorado Rockies,Atlanta Braves,6,11,0,17
825013,2026-05-03T20:05:00Z,133,114,Athletics,Cleveland Guardians,7,1,1,8
824043,2026-05-03T20:07:00Z,108,121,Los Angeles Angels,New York Mets,1,5,0,6
823145,2026-05-03T20:10:00Z,136,118,Seattle Mariners,Kansas City Royals,1,4,0,5
823307,2026-05-03T20:10:00Z,135,145,San Diego Padres,Chicago White Sox,4,3,1,7
824285,2026-05-03T23:20:00Z,116,140,Detroit Tigers,Texas Rangers,7,1,1,8
824363,2026-05-04T21:40:00Z,115,121,Colorado Rockies,New York Mets,2,4,0,6
824283,2026-05-04T22:10:00Z,116,111,Detroit Tigers,Boston Red Sox,4,5,0,9
822984,2026-05-04T22:40:00Z,139,141,Tampa Bay Rays,Toronto Blue Jays,5,1,1,6
823874,2026-05-04T22:40:00Z,146,143,Miami Marlins,Philadelphia Phillies,0,1,0,1
823552,2026-05-04T23:05:00Z,147,110,New York Yankees,Baltimore Orioles,12,1,1,13
824684,2026-05-04T23:10:00Z,112,113,Chicago Cubs,Cincinnati Reds,5,4,1,9
824120,2026-05-04T23:40:00Z,118,114,Kansas City Royals,Cleveland Guardians,6,2,1,8
823064,2026-05-04T23:45:00Z,138,158,St. Louis Cardinals,Milwaukee Brewers,6,3,1,9
824201,2026-05-05T00:10:00Z,117,119,Houston Astros,Los Angeles Dodgers,3,8,0,11
824039,2026-05-05T01:38:00Z,108,145,Los Angeles Angels,Chicago White Sox,0,6,0,6
823143,2026-05-05T01:40:00Z,136,144,Seattle Mariners,Atlanta Braves,5,4,1,9
823228,2026-05-05T01:45:00Z,137,135,San Francisco Giants,San Diego Padres,3,2,1,5
824940,2026-04-01T16:15:00Z,144,133,Atlanta Braves,Athletics,5,1,1,6
824860,2026-04-01T16:35:00Z,110,140,Baltimore Orioles,Texas Rangers,8,3,1,11
824536,2026-04-01T16:40:00Z,113,134,Cincinnati Reds,Pittsburgh Pirates,3,8,0,11
